Brand,Model,Body_Type,Fuel,Transmission,Owner,Owner_No,Year,KM,Price,Seats,Engine_CC,Power,City
Maruti,Maruti Eeco,Minivans,Cng,Manual,1st Owner,1,2022,32317.0,570000.0,5.0,1196.0,61.68bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Petrol,Manual,2nd Owner,2,2010,65733.0,117000.0,5.0,1197.0,80 PS at 5200 rpm,Jaipur
Tata,Tata Altroz,Hatchback,Petrol,Manual,1st Owner,1,2020,21388.0,537000.0,5.0,1199.0,86.83bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Diesel,Automatic,3rd Owner,3,2019,71448.0,678000.0,5.0,1248.0,74.02bhp,Jaipur
MG,MG ZS EV,SUV,Electric,Automatic,1st Owner,1,2022,10371.0,2450000.0,5.0,0.0,174.33bhp,Jaipur
Honda,Honda Amaze,Sedan,Petrol,Manual,1st Owner,1,2018,63385.0,541000.0,5.0,1199.0,88.76bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Petrol,Manual,1st Owner,1,2019,60048.0,578000.0,5.0,1197.0,81.86bhp,Jaipur
Tata,Tata Tigor EV,Sedan,Electric,Automatic,1st Owner,1,2022,44351.0,1490000.0,5.0,0.0,73.75bhp,Jaipur
Hyundai,Hyundai EON,Hatchback,Petrol,Manual,1st Owner,1,2015,45926.0,200000.0,5.0,814.0,55.2bhp,Jaipur
Maruti,Maruti Vitara Brezza,SUV,Petrol,Manual,1st Owner,1,2021,19876.0,750000.0,5.0,1462.0,103.26bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Diesel,Manual,1st Owner,1,2017,69000.0,675000.0,5.0,1396.0,88.76bhp,Jaipur
Maruti,Maruti Vitara Brezza,SUV,Petrol,Manual,1st Owner,1,2021,65000.0,894999.9999999999,5.0,1462.0,103.26bhp,Jaipur
Hyundai,Hyundai Grand i10,Hatchback,Petrol,Manual,1st Owner,1,2015,37386.0,420000.0,5.0,1197.0,82bhp,Jaipur
Maruti,Maruti Baleno,Hatchback,Petrol,Manual,1st Owner,1,2020,104590.0,550000.0,5.0,1197.0,81.80bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Petrol,Manual,1st Owner,1,2021,57794.0,725000.0,5.0,1197.0,88.50bhp,Jaipur
Ford,Ford Ecosport,SUV,Diesel,Manual,1st Owner,1,2015,105072.0,420000.0,5.0,1498.0,89.84bhp,Jaipur
Honda,Honda Civic,Sedan,Petrol,Manual,3rd Owner,3,2007,176550.0,150000.0,5.0,1799.0,130bhp,Jaipur
